-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::_slow_conv2d_backward        54.86%        2.576s        55.77%        2.619s      67.149ms       1.16 GB      -9.13 GB            39            --  
                             aten::_slow_conv2d_forward        27.86%        1.308s        29.55%        1.387s      35.574ms       1.51 GB      -9.13 GB            39            --  
                                             aten::add_         2.52%     118.358ms         2.52%     118.358ms     739.735us           0 B           0 B           160            --  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         2.32%     109.158ms         2.33%     109.171ms      21.834ms      17.23 MB      17.23 MB             5            --  
                                               aten::mm         2.23%     104.658ms         2.23%     104.661ms       5.814ms       1.35 GB       1.35 GB            18  14442823.680  
                                            aten::copy_         2.15%     101.128ms         2.15%     101.128ms     674.186us           0 B           0 B           150            --  
                          aten::max_pool2d_with_indices         2.03%      95.321ms         2.03%      95.321ms       6.355ms     525.41 MB     525.41 MB            15            --  
                               aten::threshold_backward         1.93%      90.472ms         1.93%      90.472ms       2.010ms       1.51 GB       1.51 GB            45            --  
                                            aten::addmm         0.96%      45.041ms         0.96%      45.142ms       5.016ms     983.44 KB     983.44 KB             9   7221411.840  
                                            aten::fill_         0.73%      34.064ms         0.73%      34.064ms     241.592us           0 B           0 B           141            --  
                                       aten::clamp_min_         0.62%      28.919ms         0.62%      28.919ms     642.636us           0 B           0 B            45            --  
                                             aten::mul_         0.61%      28.812ms         0.62%      29.005ms     453.207us           0 B        -256 B            64            --  
                                              aten::sum         0.50%      23.337ms         0.50%      23.451ms     488.571us     147.84 KB     147.84 KB            48            --  
                 aten::max_pool2d_with_indices_backward         0.44%      20.846ms         0.77%      36.173ms       2.412ms     700.55 MB     700.55 MB            15            --  
                                Optimizer.step#SGD.step         0.03%       1.528ms         3.66%     171.803ms      57.268ms     515.29 MB           0 B             3            --  
                                          aten::resize_         0.02%     772.368us         0.02%     772.368us       5.851us       2.68 GB       2.68 GB           132            --  
                                            aten::relu_         0.02%     728.835us         0.63%      29.647ms     658.832us           0 B           0 B            45            --  
                                            aten::empty         0.01%     625.126us         0.01%     625.126us       2.471us      18.27 GB      18.27 GB           253            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%     613.001us        55.80%        2.620s      67.182ms    -532.15 MB      -1.68 GB            39            --  
                             aten::_adaptive_avg_pool2d         0.01%     525.832us         0.01%     532.375us     177.458us       2.87 MB           0 B             3            --  
                    aten::_adaptive_avg_pool2d_backward         0.01%     498.707us         0.01%     549.831us     183.277us       2.87 MB           0 B             3            --  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     431.873us         1.94%      91.140ms       2.025ms      -1.51 GB      -3.03 GB            45            --  
                                       aten::bernoulli_         0.01%     426.249us         0.01%     426.249us      71.041us           0 B           0 B             6            --  
